Name,Website,Verified Certifications,Self-Generated Tags,Red Flags,Price,Owned By/Associated With,Category,Key Products
Patagonia,https://www.patagonia.com/home/,"Fair Trade Certified,B Corp Certified,FLA Workplace Code of Conduct,Medium Fashion Transparency Index Score","Recycled Materials,Ethical Supply Chain,Fair Trade,Safe and Fair Labor Standards,Fair Labor Practices,High Proportion of Eco-Friendly Materials,Plan to Reduce Greenhouse Gas Emissions,Eco-friendly practices",,$$,,"Women,Men,Kids","Outerwear,Activewear,Casual Wear,Swimwear,Socks,Hats,Bags,Accessories,Shoes,Underwear"
People Tree,https://www.peopletree.co.uk/?utm_source=Affiliate&utm_medium=LinkShare&utm_campaign=Fluhu2U*BdY&utm_content=10&utm_term=UKNetwork&siteID=Fluhu2U.BdY-s6lNw26fi3hWoQXvbYFLkA,"GOTS Certified organic cotton,Fairtrade International - Small Producers Organizations,WFTO Guarantee System certified factory","High Proportion of Eco-Friendly Materials,Uses Non-Toxic Dyes,""Limited Amount of Chemicals, Water and Wastewater Used in Production"",Living wages,Ethical Supply Chain,Does Not Use Fur/Exotic Animal Skins",,$$,,Women,"Casual Wear,Underwear,Business Wear,Socks,Outerwear,Sleepwear,Jewelry,Activewear"
prAna,https://www.prana.com/women.html?mid=paidsearch&eid=google&gid=6&nid=cpcs_search_brand_dual&oid=[prana]_women&gclid=CjwKCAiAv4n9BRA9EiwA30WNDwua3vn2VFWLDfe6i-W5S0lubXmIzhZFRzSSG2BsSUj4Up0Yl-1laxoCK5YQAvD_BwE,"Fair Trade Certified,GOTS Certified organic cotton,Some Supply Chain Certified by FLA Workplace Code of Conduct","High Proportion of Eco-Friendly Materials,Policy to Prevent Deforestation of Ancient and Endangered Forests in its Supply Chain",No Policy to Reduce Greenhouse Gas Emissions,$$,,"Women,Men","Activewear,Casual Wear,Swimwear,Denim,Outerwear,Bras,Loungewear,Hats"
Primark,https://www.primark.com/,,,"Fast Fashion,Low Fashion Transparency Index,Uses Leather and Wool,Few Eco-Friendly Materials",$,,"Women,Men,Kids,Bath/Body,Home",All of the Above
Puma,,,"Plan to Reduce Greenhouse Gas Emissions,Does Not Use Fur/Exotic Animal Skins,good animal rating",,$$,,"Women,Men,Kids","Activewear,Shoes,Casual Wear,Bras,Socks,Outerwear,Bags,Hats"
rains,https://www.us.rains.com/,,"eco-friendly shipping,vegan - no animal at all",Does Not Use Eco-Friendly Materials,$$,,"Women,Men","Outerwear,Bags,Accessories"
Ralph Lauren,https://www.ralphlauren.com/,Five Freedoms,Recyclable Packaging,"Low Fashion Transparency Index,Exotic Animal Skin/Fur,Few Eco-Friendly Materials",$$,Ralph Lauren,"Women,Men,Kids,Babies","Casual Wear,Business Wear,Denim,Outerwear,Swimwear,Sleepwear,Loungewear,Shoes,Bags,Hats,Accessories,Socks,Jewelry,Fragrance"
Ray Ban,https://www.ray-ban.com/usa/sunglasses/clp?cid=PM-SGA_300419-US-Brand-Core-Desktop-Exact_TM-All_ray+ban&gclid=CjwKCAiA17P9BRB2EiwAMvwNyOFmFs9MFP_IuLVoDuPXyOiTXqeD5LO4MROPzwMusjUNVgrD5MvfDRoCoLYQAvD_BwE&gclsrc=aw.ds,,,"Does Not Use Eco-Friendly Materials,Lack of Info",$$,CasaGIN,"Women,Men,Kids",Sunglasses
Reebok,https://www.reebok.com/,"Sustainable Apparel Coalition,Bluesign Certified,Above 70% in Fashion Transparency Index","Recycled Materials,Plant-Based Materials,Eco-friendly practices,Environmental Sustainability Plan,Living wages,Worker Empowerment,Does Not Use Fur/Exotic Animal Skins",,,Adidas,"Women,Men,Kids","Shoes,Activewear,Socks,Casual Wear,Bras,Swimwear,Sunglasses,Accessories,Bags,Hats,Loungewear"
reformation,,,"High Proportion of Eco-Friendly Materials,Recycled Materials,renewable energy","Exotic Animal Skin/Fur,Mistreats Animals",$$,,Women,"Casual Wear,Bras,Underwear,Denim,Outerwear,Loungewear,Swimwear,Accessories,Jewelry"
Rudy Jude,https://rudyjude.com/,,"High Proportion of Eco-Friendly Materials,Organic Cotton,""Limited Amount of Chemicals, Water and Wastewater Used in Production"",good animal rating",,$$,,"Women,Men,Kids,Babies","Denim,Casual Wear,Loungewear"
Saint Laurent,www.ysl.com,Medium Fashion Transparency Index Score,"Plan to Reduce Greenhouse Gas Emissions,Traces Most of Supply Chain,Environmental Sustainability Plan",Exotic Animal Skin/Fur,$$$,Kering,"Women,Men","Bags,Shoes,Accessories,Sunglasses"
SavageXFenty,https://www.savagex.com/,,,Lack of Info,$$,,"Women,Men","Bras,Underwear,Sleepwear"
Seasalt,https://www.seasaltcornwall.co.uk/,,"Organic Cotton,Recyclable Packaging,renewable energy,Does Not Use Fur/Exotic Animal Skins",Lack of Info,$$,,"Women,Men,Maternity","Casual Wear,Outerwear,Loungewear"
Shein,https://us.shein.com/,,,"Lack of Info,Fast Fashion,Low Fashion Transparency Index",$,,"Women,Men,Kids","Casual Wear,Swimwear,Shoes,Accessories,Jewelry,Business Wear,Bags,Socks,Sunglasses,Makeup"
Sierra,www.sierra.com,,,,,TJX,"Women,Men,Kids","Activewear,Casual Wear,Outerwear,Denim,Sleepwear,Underwear,Socks,Swimwear,Bags,Hats,Jewelry,Accessories,Shoes"
Stay Wild,https://staywildswim.com/,,"High Proportion of Eco-Friendly Materials,Recycled Materials,Water Reduction Initiatives,Traces Most of Supply Chain",,$$,,"Women,Men","Casual Wear,Loungewear"
superga,,,,"Lack of Info,Mistreats Animals",$$,Levis,"Women,Men,Kids","Shoes,Socks"
Target,target.com,"Energy Star Certification,New Plastics Economy Global Commitment","Supports Charities,Plan to Reduce Greenhouse Gas Emissions,Working to Eliminate Hazardous Chemicals,Water Reduction Initiatives,Uses Solar Power,Sustainable Cotton","Mistreats Workers,Tax Avoidance",$,,"Women,Men,Kids,Babies,Bath/Body,Home,Books",All of the Above
The Anjelms Project,https://www.anjelms.com/,,"Recycles,Uses Non-Toxic Dyes,Traces Most of Supply Chain",,$$,,"Women,Men","Casual Wear,Loungewear,Outerwear,Bags,Shoes"
The North Face,,Bluesign Certified,"Recycled Materials,Plan to Reduce Greenhouse Gas Emissions,Eco-friendly practices",,$$,,"Women,Men,Kids","Outerwear,Casual Wear,Activewear,Shoes,Hats,Accessories"
The Nude Label,https://thenudelabel.com/en/,GOTS Certified organic cotton,"High Proportion of Eco-Friendly Materials,Organic Cotton,Locally made,Traces Most of Supply Chain,vegan - no animal at all,Living wages",,$$,,"Women,Men","Underwear,Bras,Socks"
Thunderpants USA,https://thunderpantsusa.com/,Fair Labor Association,"Earth-friendly dyes,Ethical Supply Chain,Fair Labor Practices,Organic Cotton,Traces Most of Supply Chain,Inclusive sizes",Lack of Info,$$,,"Women,Men,Kids","Underwear,Bras,Casual Wear,Loungewear,Activewear"
TIffany & Co.,https://www.tiffany.com/?omcid=ppc_google_US_EN_Non-Bridal_Search_Google_Brand_Core+Brand_Exact&mkwid=smm6B0md4|pcrid|439167370507|pkw|tiffany|pmt|e|pdv|c|mtid|744dpc50313|slid||productid||targetids|kwd-13259446|groupid|98242598879|&gclid=CjwKCAiA17P9BRB2EiwAMvwNyJsT0uxdjCPVkIe6IG0a13drMGoJ2RfYFbLifRvTqfAc8d0-pbtZThoCbckQAvD_BwE,,renewable energy,Lack of Info,$$,,"Women,Men,Home","Jewelry,Fragrance,Sunglasses"
TJ Maxx,https://tjmaxx.tjx.com/,,,,,TJX,"Women,Men,Kids,Home,Bath/Body",All of the Above
TJX,tjx.com,,"Plan to Reduce Greenhouse Gas Emissions,Greenhouse Gas Reductions,Supports BLM,Community Outreach,Supports Charities,Support and promotes gender equality,Uses Solar Power",,,,Parent Company,
Tommy Hilfiger,https://usa.tommy.com/en,"Some Supply Chain Certified by FLA Workplace Code of Conduct,Medium Fashion Transparency Index Score","Greenhouse Gas Reductions,Policy to Prevent Deforestation of Ancient and Endangered Forests in its Supply Chain,Eco-friendly practices","Exotic Animal Skin/Fur,Mistreats Animals",,,"Women,Men,Kids","Casual Wear,Business Wear,Outerwear,Denim,Underwear,Bras,Sleepwear,Shoes,Hats,Socks,Bags,Loungewear,Activewear,Swimwear,Jewelry"
Topshop,https://us.topshop.com/,Some Supply Chain Certified by SMETA Best Practice Guidance,,"Fast Fashion,Lack of Info,Low Fashion Transparency Index,Few Eco-Friendly Materials",$,ASOS,"Women,Men,Bath/Body","Casual Wear,Denim,Activewear,Shoes,Outerwear,Swimwear"
Two Sparrow Australia,https://www.twosparrow.com.au/,"certified by the Workplace Condition Assessment (WCA),Ethical Clothing Australia","Recycled Materials,Water Reduction Initiatives,vegan - no animal at all,Eco-friendly practices",Lack of Info,$$,,Women,"Swimwear,Casual Wear"
UGG,https://www.ugg.com/,,Eco-friendly practices,"Low Fashion Transparency Index,Lack of Info",$$,,"Women,Men,Kids","Shoes,Outerwear,Sleepwear,Loungewear,Casual Wear,Bags"
Under Armour,https://www.underarmour.com/en-us/?cid=PS%7c%7cTM%7cGGL%7cAll%7cunder+armour%7cALL%7call%7call%7cEXACT%7cDG%7cp57710398160&gclid=CjwKCAiA17P9BRB2EiwAMvwNyCjM-1ttCIppyaLgNBoWhiBO62AF9c_JVcd4I4yX_i5IfW2bOii3SxoCI6sQAvD_BwE&gclsrc=aw.ds,"Some Supply Chain Certified by FLA Workplace Code of Conduct,Responsible Down Standard Accredited",,"Low Fashion Transparency Index,Lack of Info,Few Eco-Friendly Materials",,,"Men,Women,Kids","Activewear,Shoes,Outerwear,Casual Wear,Bras,Underwear,Socks,Bags,Hats,Sunglasses"
Underprotection,https://underprotection.eu/,Oeko Tex Certification,"Recycled Materials,High Proportion of Eco-Friendly Materials,Traces Most of Supply Chain,Does Not Use Fur/Exotic Animal Skins",Lack of Info,$,,Women,"Underwear,Bras,Loungewear,Swimwear,Socks,Bags"
Uniqlo,https://www.uniqlo.com/,"Some Supply Chain Certified by FLA Workplace Code of Conduct,Responsible Down Standard Accredited","Recycled Materials,Plan to Reduce Greenhouse Gas Emissions,Minimal Packaging,Policy to Prevent Deforestation of Ancient and Endangered Forests in its Supply Chain,Traces Most of Supply Chain,Does Not Use Fur/Exotic Animal Skins,Eco-friendly practices",Lack of Info,$,,"Women,Men,Kids,Babies,Home","Casual Wear,Outerwear,Activewear,Denim,Loungewear,Bras,Underwear,Socks,Shoes,Accessories,Hats,Sunglasses,Bags"
Urban Outfitters,https://www.urbanoutfitters.com/?ref=logo&utm_medium=cpc&utm_source=google&utm_campaign=%5BBrand_Text%5D_-_UO_-_Trademark_-_Exact&utm_content=UO_-_Trademark&utm_term=urban_outfitters&adpos=&creative=476790286521&device=c&matchtype=e&network=g&gclid=CjwKCAiA17P9BRB2EiwAMvwNyF7mq9owO0pIQt_qFywbyMqUyqLDAntI4NXHqnRhwtrC10z7IRF7ZBoCR3cQAvD_BwE&gclsrc=aw.ds,,renewable energy,"Lack of Info,Low Fashion Transparency Index",$,Vatter,"Women,Men,Home","Casual Wear,Outerwear,Bras,Denim,Underwear,Activewear,Swimwear,Makeup,Shoes,Accessories,Jewelry,Bags,Hats,Socks,Sunglasses"
valentino,https://www.valentino.com,,Working to Eliminate Hazardous Chemicals,"Low Fashion Transparency Index,Exotic Animal Skin/Fur",$$$,,"Women,Men","Business Wear,Evening Wear,Outerwear,Bags,Casual Wear,Denim,Swimwear,Shoes,Jewelry,Hats,Fragrance,Sunglasses"
vans,www.vans.com,"Five Freedoms,Medium Fashion Transparency Index Score",Plan to Reduce Greenhouse Gas Emissions,Few Eco-Friendly Materials,,,"Women,Men,Kids","Shoes,Casual Wear,Bags,Hats,Sunglasses,Socks"
Vatter,https://www.vatter-fashion.com/,GOTS Certified organic cotton,"Recycled Packaging,Traces Most of Supply Chain,vegan - no animal at all",,$$,,"Women,Men","Underwear,Bras,Casual Wear"
Vege Threads,https://www.vegethreads.com/,"GOTS Certified organic cotton,Ethical Clothing Australia","High Proportion of Eco-Friendly Materials,Locally made,Uses Non-Toxic Dyes,Water Reduction Initiatives,Traces Most of Supply Chain,Living wages,wool from non-mulesed sheep,good animal rating,Does Not Use Fur/Exotic Animal Skins",,,,Women,"Casual Wear,Activewear,Underwear,Bras,Swimwear,Socks"
Victoria's Secret,https://www.victoriassecret.com/us/?cm_mmc=SEM-_-GOOGLE-_-VSD_VS_General_Brand_Exact-_-VS_General_Brand_Exact&&gclid=CjwKCAiA17P9BRB2EiwAMvwNyJmxyk6MQK0jvRVbJBn3kNs1nGsb4IXqyxpjr3E1RwE5sSb5N_SvKhoCZvEQAvD_BwE&gclsrc=aw.ds,,,"Low Fashion Transparency Index,Lack of Info,Few Eco-Friendly Materials",$$,,Women,"Underwear,Bras,Casual Wear,Sleepwear,Loungewear,Activewear,Makeup,Swimwear,Bags"
Vitamin A,https://www.vitaminaswim.com/,Code of Conduct covers the ILO Four Fundamental Freedoms principles,"High Proportion of Eco-Friendly Materials,Recycled Materials,Locally made,""Limited Amount of Chemicals, Water and Wastewater Used in Production"",Living wages,Traces Most of Supply Chain,good animal rating,Does Not Use Fur/Exotic Animal Skins",,$$,,Women,"Swimwear,Loungewear,Casual Wear"
Walmart,walmart.com,,"Recycles,Environmental Sustainability Plan,Plan to Reduce Greenhouse Gas Emissions","Tax Avoidance,Discriminatory Policies/Practices,Exploitive Prices,Politically Misaligned,Privacy Violations,Dumps Hazardous Materials",,,Parent Company,All of the Above
We Are HAH,https://www.wearehah.com/,,"renewable energy,Water Reduction Initiatives,Does Not Use Fur/Exotic Animal Skins","Lack of Info,Few Eco-Friendly Materials",$$,,Women,"Underwear,Bras,Loungewear,Sleepwear,Casual Wear"
Zara,https://www.zara.com/,,"Recycled Packaging,Plan to Reduce Greenhouse Gas Emissions,Does Not Use Fur/Exotic Animal Skins,Eco-friendly practices",Lack of Info,$$,,"Women,Men,Kids","Casual Wear,Business Wear,Evening Wear,Outerwear,Denim,Loungewear,Shoes,Underwear,Bras,Bags,Makeup,Jewelry"
